id,spoilerType
0,passage
1,passage
2,passage
3,passage
4,passage
5,passage
6,passage
7,passage
8,passage
9,multi
10,passage
11,passage
12,passage
13,passage
14,multi
15,passage
16,passage
17,multi
18,passage
19,passage
20,passage
21,passage
22,multi
23,passage
24,passage
25,multi
26,passage
27,passage
28,passage
29,passage
30,multi
31,passage
32,passage
33,multi
34,multi
35,multi
36,passage
37,passage
38,passage
39,passage
40,passage
41,passage
42,passage
43,passage
44,multi
45,passage
46,passage
47,multi
48,multi
49,passage
50,multi
51,multi
52,passage
53,passage
54,passage
55,passage
56,passage
57,passage
58,passage
59,passage
60,multi
61,passage
62,passage
63,passage
64,passage
65,passage
66,passage
67,passage
68,passage
69,passage
70,passage
71,passage
72,passage
73,passage
74,passage
75,passage
76,phrase
77,passage
78,passage
79,multi
80,passage
81,passage
82,passage
83,multi
84,phrase
85,multi
86,passage
87,passage
88,passage
89,multi
90,passage
91,passage
92,multi
93,multi
94,passage
95,passage
96,passage
97,multi
98,passage
99,passage
100,passage
101,passage
102,multi
103,passage
104,multi
105,passage
106,passage
107,passage
108,passage
109,passage
110,passage
111,passage
112,passage
113,passage
114,phrase
115,passage
116,passage
117,phrase
118,passage
119,passage
120,passage
121,passage
122,passage
123,passage
124,passage
125,passage
126,passage
127,passage
128,passage
129,passage
130,multi
131,multi
132,multi
133,passage
134,passage
135,passage
136,passage
137,passage
138,passage
139,passage
140,passage
141,passage
142,passage
143,passage
144,passage
145,passage
146,multi
147,multi
148,passage
149,passage
150,passage
151,passage
152,passage
153,passage
154,passage
155,passage
156,passage
157,passage
158,passage
159,passage
160,passage
161,passage
162,passage
163,passage
164,passage
165,passage
166,passage
167,passage
168,phrase
169,passage
170,passage
171,passage
172,passage
173,multi
174,passage
175,passage
176,passage
177,passage
178,passage
179,passage
180,passage
181,passage
182,multi
183,passage
184,passage
185,multi
186,passage
187,passage
188,passage
189,passage
190,passage
191,passage
192,passage
193,passage
194,passage
195,passage
196,passage
197,multi
198,multi
199,phrase
200,passage
201,passage
202,passage
203,passage
204,passage
205,passage
206,multi
207,passage
208,passage
209,passage
210,passage
211,passage
212,passage
213,passage
214,passage
215,passage
216,passage
217,passage
218,passage
219,passage
220,passage
221,passage
222,passage
223,multi
224,passage
225,passage
226,passage
227,passage
228,passage
229,passage
230,multi
231,multi
232,passage
233,passage
234,passage
235,multi
236,passage
237,passage
238,passage
239,multi
240,phrase
241,passage
242,multi
243,passage
244,passage
245,phrase
246,passage
247,passage
248,passage
249,multi
250,passage
251,multi
252,passage
253,passage
254,passage
255,passage
256,passage
257,passage
258,passage
259,phrase
260,passage
261,multi
262,passage
263,passage
264,multi
265,passage
266,passage
267,passage
268,multi
269,multi
270,passage
271,passage
272,passage
273,passage
274,passage
275,passage
276,multi
277,passage
278,passage
279,passage
280,passage
281,passage
282,multi
283,passage
284,phrase
285,passage
286,passage
287,passage
288,passage
289,passage
290,passage
291,passage
292,passage
293,passage
294,passage
295,multi
296,passage
297,multi
298,passage
299,passage
300,passage
301,passage
302,passage
303,passage
304,multi
305,passage
306,passage
307,passage
308,passage
309,passage
310,passage
311,passage
312,passage
313,multi
314,passage
315,passage
316,passage
317,passage
318,passage
319,multi
320,multi
321,phrase
322,passage
323,passage
324,passage
325,multi
326,passage
327,passage
328,passage
329,passage
330,passage
331,passage
332,passage
333,multi
334,passage
335,multi
336,multi
337,passage
338,passage
339,passage
340,passage
341,passage
342,passage
343,multi
344,passage
345,passage
346,multi
347,passage
348,passage
349,passage
350,passage
351,passage
352,passage
353,passage
354,passage
355,phrase
356,passage
357,passage
358,multi
359,passage
360,passage
361,passage
362,passage
363,passage
364,passage
365,passage
366,passage
367,passage
368,multi
369,multi
370,passage
371,passage
372,passage
373,phrase
374,passage
375,passage
376,passage
377,passage
378,passage
379,passage
380,passage
381,passage
382,passage
383,passage
384,passage
385,passage
386,passage
387,passage
388,passage
389,phrase
390,passage
391,passage
392,passage
393,passage
394,passage
395,passage
396,passage
397,phrase
398,passage
399,passage
